Location Name,Amount Spent (USD)
Alabama,75260
Alaska,50037
American Samoa,≤100
Arizona,679989
Arkansas,45625
California,1348863
Colorado,275276
Connecticut,70331
Delaware,20531
Florida,1339354
Georgia,543681
Guam,500
Hawaii,22052
Idaho,25081
Illinois,331676
Indiana,102379
Iowa,246998
Kansas,83287
Kentucky,141615
Louisiana,72242
Maine,106328
Maryland,96794
Massachusetts,121084
Michigan,693561
Minnesota,270374
Mississippi,32821
Missouri,106850
Montana,113570
Nebraska,55940
Nevada,173927
New Hampshire,56385
New Jersey,189103
New Mexico,55606
New York,415976
North Carolina,1047061
North Dakota,12824
Northern Mariana Islands,≤100
Ohio,315924
Oklahoma,57963
Oregon,111733
Pennsylvania,952157
Puerto Rico,8350
Rhode Island,16485
South Carolina,153190
South Dakota,12657
Tennessee,93535
Texas,666496
Unknown,293
Utah,57742
Vermont,13569
Virgin Islands (U.S.),111
Virginia,186514
Washington,132085
"Washington, District of Columbia",24578
West Virginia,40714
Wisconsin,444023
Wyoming,8984
